,Municipio,Departamento,Entidad,País,Fundación,Erección,Superficie (km²),Altitud Media (m.s.n.m),Población Total (hab),Pobl. Urbana (hab),Densidad (hab/km²),Coordenadas,Clima,Gentilicio,Alcalde,Código Postal,Huso horario
1045,Gachantivá,Boyacá,Municipio,Colombia,1715,,66.0,2450.0,2654.0,364.0,40.21,5°45′03″N  73°32′58″O,,Gachantivense,Pedro Alonso Aguillón Puentes,154220,UTC  -5
1046,Guataquí,Cundinamarca,Municipio,Colombia,1539-04-06 00:00:00,1656-11-06 00:00:00,87.0,227.0,2630.0,1368.0,31.16,4°31′01″N  74°47′26″O,,"Guataquiseño, -a",Diana Victoria Devia Pulido,252820,UTC  -5
1047,Abriaquí,Antioquia,Municipio,Colombia,1821-02-07 00:00:00,1912-04-29 00:00:00,293.0,1920.0,2695.0,824.0,9.29,6°37′54″N  76°03′50″O,,"Abriaquiceño, -a",Héctor William Urrego Quirós,57460,UTC  -5
1048,La Uvita,Boyacá,Municipio,Colombia,1758-12-24 00:00:00,,151.0,2466.0,2523.0,1018.0,,6°18′58″N  72°33′36″O,,"Uvitano, -a",Ronald Gerardo Cordero Jaime,150860,UTC  -5
1049,Susacón,Boyacá,Municipio,Colombia,1809-12-18 00:00:00,,19.0,2480.0,3095.0,966.0,16.2,6°13′46″N  72°41′28″O,,Susaconense,Silvio Alberto Rincón Ortega,250630,UTC  -5
1050,Covarachía,Boyacá,Municipio,Colombia,,1823-02-10 00:00:00,103.0,2320.0,2861.0,516.0,27.78,6°30′01″N  72°44′20″O,,"Covarachense, -a",Wilson Isay Moreno Vega,151040,UTC  -5
1051,La Capilla,Boyacá,Municipio,Colombia,1793-11-13 00:00:00,1793-05-18 00:00:00,57.26,1750.0,2550.0,972.0,44.53,5°05′44″N  73°26′37″O,,Capillense,Raúl Hernando Rodríguez Chavarro,153220,UTC  -5
1052,Paya,Boyacá,Municipio,Colombia,1600-09-14 00:00:00,,435.5,970.0,2550.0,580.0,5.86,5°37′31″N  72°25′26″O,,"Payero, -a",Benjamín Pérez Cristancho,151820,UTC  -5
1053,Chámeza,Casanare,Municipio,Colombia,1843-03-10 00:00:00,1959,316.0,1100.0,2460.0,1617.0,,5°12′53″N  72°52′11″O,,"Chamezano, -a",John Alexander Cubides Numpaque,856030,UTC  -5
1054,Palmas del Socorro,Santander,Municipio,Colombia,1809-10-20 00:00:00,,57.02,1200.0,2241.0,683.0,39.3,6°24′26″N  73°17′18″O,,"Palmeño, -a",Nubia Suarez Velasquez,683551,UTC  -5
1055,Encino (Santander),Santander,Municipio,Colombia,1785-02-15 00:00:00,1887,417.0,1854.0,5672.0,1242.0,5.99,6°08′16″N  73°05′53″O,,"Encinero, -a",José Gabriel Girata Pico,682541,UTC  -5
1056,Bituima,Cundinamarca,Municipio,Colombia,1543-08-15 00:00:00,1851-03-28 00:00:00,61.0,1627.0,2520.0,444.0,,4°52′28″N  74°32′26″O,,"Bituimero, -a",Javier Cortes Cristancho,253220,UTC  -5
1057,Corrales,Boyacá,Municipio,Colombia,1782-01-28 00:00:00,,60.85,2470.0,2273.0,1555.0,,5°49′43″N  72°50′42″O,,"Corraleño, -a",Pedro Antonio Lopez Prieto,152060,UTC −5
1058,Marulanda,Caldas,Municipio,Colombia,1877-10-06 00:00:00,1885,378.57,2825.0,3406.0,1271.0,,5°17′03″N  75°15′37″O,,"Marulandeño, -a",Juan David Grajales Marulanda,173001,UTC  -5
1059,Chivor,Boyacá,Municipio,Colombia,1930,1990-12-16 00:00:00,108.36,1803.0,1795.0,486.0,16.57,4°53′16″N  73°22′06″O,,"Chivoreño, -a",Didier Aurelio Martínez Vargas,153001,UTC  -5
1060,San Miguel,Santander,Municipio,Colombia,1763-01-28 00:00:00,1857,71.0,2200.0,2379.0,389.0,20.69,6°34′34″N  72°38′45″O,,"Sanmigueleño, -a",Óscar Ramiro Ortiz,681551,UTC  -5
1061,Nariño,Cundinamarca,Municipio,Colombia,1833-03-31 00:00:00,,54.0,265.0,2203.0,1449.0,,4°23′53″N  74°49′41″O,,Nariñense,Gustavo Martinez Ramirez,522020,UTC  -5
1062,Santa Bárbara,Santander,Municipio,Colombia,1831-12-04 00:00:00,1976-11-29 00:00:00,224.3,1900.0,2137.0,404.0,11.49,6°59′25″N  72°54′24″O,,"Suaqueño, -a Santabarbarence",Marinella Estupiñán Rincon,681021,UTC  -5
1063,Pachavita,Boyacá,Municipio,Colombia,1716-11-17 00:00:00,1793,68.0,1985.0,2508.0,395.0,36.88,5°08′26″N  73°23′52″O,,Pachavitense,José Fernando Roa Orjuela,153210,UTC  -5
1064,Taraira,Vaupés,Municipio,Colombia,1985,1992-11-27 00:00:00,6619.0,189.0,2215.0,,0.33,0°33′49″S  69°38′01″O,,Tarairense,Eliecer Cabrera Lomely,972040,UTC  -5
1065,Pajarito,Boyacá,Municipio,Colombia,1853-01-01 00:00:00,,322.0,793.0,1719.0,725.0,5.34,5°17′35″N  72°42′11″O,,"Pajariteño, -a",Jesús Noé Riveros López,152401,UTC  -5
1066,Guapotá,Santander,Municipio,Colombia,1810-09-05 00:00:00,1886,66.32,1534.0,2139.0,532.0,,6°18′45″N  73°19′19″O,,"Guapoteño, -a",,683011,UTC  -5
